gene_symbol,de_score,de_celltypes,n_de_celltypes,max_log2fc,min_padj,pathway_score,n_pathways,pathway_names,lr_score,n_lr_interactions,lr_pairs,specificity_score,genetic_score,ot_genetic_score,has_genetic_evidence,druggability_score,convergence_bonus,composite_score,priority_tier,rank
GLB1,0.2270893622043904,Kupffer_cells,1,0.9266275704784328,0.018808305720495,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09541787244087808,LOW,898
ERAP2,0.32702183949934116,NK_T_cells; T_cells_low_quality,2,1.2837367500850028,0.0079044558391766,0.0,5,Complement,0.0,0,,0.3,0.0,0.0,False,0.0,False,0.09540436789986824,LOW,899
PIK3AP1,0.2264865462177496,Kupffer_cells,1,0.8865138442422618,0.0156767125335888,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09529730924354993,LOW,900
GLTP,0.22611175605253642,Kupffer_cells,1,0.9507279423170734,0.0220901921293553,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09522235121050729,LOW,901
TMEM107,0.22566972346476294,Kupffer_cells,1,1.0688068227364385,0.0411115844583903,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.0951339446929526,LOW,902
CD63,0.0,,0,0.0,1.0,0.0,7,Protein Secretion,0.5,20,TIMP1-CD63,0.0,0.038598068267497884,0.0,False,0.06881713516574027,False,0.09497208734173551,LOW,903
CLEC9A,0.22447440871950258,Scar-associated_macrophages,1,1.0733959417497434,0.0440640254766441,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09489488174390052,LOW,904
COPE,0.22425324542985392,Kupffer_cells,1,0.8075072725578183,0.0114000436752645,0.0,8,Protein Secretion,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.0948506490859708,LOW,905
STX10,0.22417744570996168,Kupffer_cells,1,0.9932377681704772,0.0295736057235453,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09483548914199234,LOW,906
STRA13,0.2236874384006154,Kupffer_cells,1,0.9858164382960006,0.0290121038167708,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09473748768012308,LOW,907
TMEM154,0.22365234832303338,Scar-associated_macrophages,1,1.008236856729905,0.0325827104910311,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09473046966460669,LOW,908
SPRY2,0.22295739206327947,Kupffer_cells,1,1.0212762942188929,0.0357722569542031,0.0,1,KRAS Signaling Up,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.0945914784126559,LOW,909
THBD,0.0,,0,0.0,1.0,0.13,6,Angiogenesis; Coagulation,0.5,20,HMGB1-THBD,0.0,0.0,0.0,False,0.0,False,0.0945,LOW,910
PMAIP1,0.1764875254160143,Scar-associated_macrophages,1,0.6545006849272619,0.0325827104910311,0.06,12,Estrogen Response Early; Apoptosis,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09429750508320286,LOW,911
MDM2,0.22145137540875576,Kupffer_cells,1,0.9554404387414092,0.0270610546391445,0.0,1,p53 Pathway,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09429027508175115,LOW,912
CLN3,0.21967390448436958,Kupffer_cells,1,0.9415037059158416,0.0269773145768481,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09393478089687392,LOW,913
UHMK1,0.21897076240135352,Kupffer_cells,1,0.9344285998861716,0.0267297743841628,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.0937941524802707,LOW,914
SLC7A8,0.21865166194488,Kupffer_cells,1,0.9921650094821204,0.0363594048992719,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.093730332388976,LOW,915
LSM4,0.2036080930760629,Kupffer_cells,1,0.8192085799464919,0.0267297743841628,0.02,9,Unfolded Protein Response,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09372161861521258,LOW,916
HMGB1,0.0,,0,0.0,1.0,0.0,0,,0.5,20,HMGB1-CXCR4,0.0,0.035793524830817436,0.0,False,0.063816868224331,False,0.09352091144135401,LOW,917
SOD3,0.20203448421068504,Vascular_smooth_muscle,1,0.9232488290507574,0.0483529149994287,0.02,2,Myogenesis,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09340689684213702,LOW,918
SNX9,0.20202244368792355,Kupffer_cells,1,0.8900484258039674,0.0408173365704585,0.02,5,IL-2/STAT5 Signaling,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09340448873758472,LOW,919
ATP11C,0.2164337941742776,Kupffer_cells,1,1.0239534826744032,0.0465824451020268,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09328675883485553,LOW,920
WSB1,0.2009302679935847,Kupffer_cells,1,0.8849147929085542,0.0414609756583091,0.02,3,Hypoxia,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09318605359871696,LOW,921
